User,Teks,Waktu,Sumber,Tahap1_CaseFolding,Tahap2_Filtered,Tahap3_FinalBersih
Gio Vanno,mantap,3/8/2026 13:57,Shopee,mantap,mantap,mantap
Prima nanda,Shopee paling joss,3/8/2026 13:56,Shopee,shopee paling joss,shopee paling joss,shopee paling joss
Jonathan madu58,"iklan shopee maksa bgt gasuka,sengaja kasi bintang lima biar di upp diatass",3/8/2026 13:55,Shopee,"iklan shopee maksa bgt gasuka,sengaja kasi bintang lima biar di upp diatass",iklan shopee maksa bgt gasuka sengaja kasi bintang lima biar di upp diatass,iklan shopee maksa bgt gasuka sengaja kasi bintang lima biar upp diatass
Ade Wawan,ok,3/8/2026 13:50,Shopee,ok,ok,
Salsa Nabila,"pelayanan terkait laporan kendala buruk, sering menggantung dan tidak ada solusi berakhir merugikan customer, padahal kesalahan memang terdapat dari pihak shopeenya",3/8/2026 13:50,Shopee,"pelayanan terkait laporan kendala buruk, sering menggantung dan tidak ada solusi berakhir merugikan customer, padahal kesalahan memang terdapat dari pihak shopeenya",pelayanan terkait laporan kendala buruk sering menggantung dan tidak ada solusi berakhir merugikan customer padahal kesalahan memang terdapat dari pihak shopeenya,pelayanan terkait laporan kendala buruk sering menggantung solusi berakhir merugikan customer padahal kesalahan memang terdapat pihak shopeenya
X-Sanjaya,Membantu..,3/8/2026 13:49,Shopee,membantu..,membantu,membantu
Masnia Nia,kok lama bgt pdhl jaringannya baguss,3/8/2026 13:48,Shopee,kok lama bgt pdhl jaringannya baguss,kok lama bgt pdhl jaringannya baguss,lama bgt pdhl jaringannya baguss
Slamet Riady,sangat membantu sekali ga usah repot repot ke kota propinsi untuk membeli barang yg murah bahkan murah dibanding kota propinsi,3/8/2026 13:47,Shopee,sangat membantu sekali ga usah repot repot ke kota propinsi untuk membeli barang yg murah bahkan murah dibanding kota propinsi,sangat membantu sekali ga usah repot repot ke kota propinsi untuk membeli barang yg murah bahkan murah dibanding kota propinsi,membantu sekali usah repot repot kota propinsi membeli barang murah bahkan murah dibanding kota propinsi
Khoiril,banyak promo yg murah,3/8/2026 13:47,Shopee,banyak promo yg murah,banyak promo yg murah,promo murah
Princess Nadia,sngt cpt dtg nya,3/8/2026 13:46,Shopee,sngt cpt dtg nya,sngt cpt dtg nya,sngt cpt dtg
Agoezt Keinara,semoga lancar selau aja untuk shopee,3/8/2026 13:46,Shopee,semoga lancar selau aja untuk shopee,semoga lancar selau aja untuk shopee,semoga lancar selau shopee
Ela Dianingsih,lumayan dan bermanfaat ya😍💪😁,3/8/2026 13:44,Shopee,lumayan dan bermanfaat ya😍💪😁,lumayan dan bermanfaat ya,lumayan bermanfaat
Dedejubaidah1 Dedejubaidah1,shope sangat membantu kalangan masyarakat indo dan membuka lapangan pekerjaan serta industri lokal untuk ekonomi nasional ..bravo shopee terus maju jaya!,3/8/2026 13:43,Shopee,shope sangat membantu kalangan masyarakat indo dan membuka lapangan pekerjaan serta industri lokal untuk ekonomi nasional ..bravo shopee terus maju jaya!,shope sangat membantu kalangan masyarakat indo dan membuka lapangan pekerjaan serta industri lokal untuk ekonomi nasional bravo shopee terus maju jaya,shope membantu kalangan masyarakat indo membuka lapangan pekerjaan serta industri lokal ekonomi nasional bravo shopee maju jaya
Jasman Jul,"shopee sangat membantu sekali dalam segala urusan belanja online, pokoknya shopee topde👍👍👍",3/8/2026 13:43,Shopee,"shopee sangat membantu sekali dalam segala urusan belanja online, pokoknya shopee topde👍👍👍",shopee sangat membantu sekali dalam segala urusan belanja online pokoknya shopee topde,shopee membantu sekali segala urusan belanja online pokoknya shopee topde
Jaka triyana88,"Amanah sesuai pesanan, pengiriman cepat & rapi trimakasih.",3/8/2026 13:42,Shopee,"amanah sesuai pesanan, pengiriman cepat & rapi trimakasih.",amanah sesuai pesanan pengiriman cepat rapi trimakasih,amanah sesuai pesanan pengiriman cepat rapi trimakasih
Nenk Yunni,sangat baik dan sangat membantu sekali 🫰👍,3/8/2026 13:42,Shopee,sangat baik dan sangat membantu sekali 🫰👍,sangat baik dan sangat membantu sekali,baik membantu sekali
Sinta Putri,udah pakai shopee dari 2018 dan hampir semua orderan sesuai sama keinginan ku mantap shopee,3/8/2026 13:39,Shopee,udah pakai shopee dari 2018 dan hampir semua orderan sesuai sama keinginan ku mantap shopee,udah pakai shopee dari dan hampir semua orderan sesuai sama keinginan ku mantap shopee,pakai shopee hampir semua orderan sesuai keinginan mantap shopee
Rika Rahim,ko shopee sekarang lelet ya? pesanan aku sering lama banget datangnya,3/8/2026 13:39,Shopee,ko shopee sekarang lelet ya? pesanan aku sering lama banget datangnya,ko shopee sekarang lelet ya pesanan aku sering lama banget datangnya,shopee sekarang lelet pesanan sering lama datangnya
Mama Rini,Shope andalanku untuk berbelanja online smg tambah sukses 👍,3/8/2026 13:37,Shopee,shope andalanku untuk berbelanja online smg tambah sukses 👍,shope andalanku untuk berbelanja online smg tambah sukses,shope andalanku berbelanja online smg tambah sukses
Erwis Fitrianto,"pesan saya Uda ditrima selesai,hanya nomor handphone tidak bisa dirubah",3/8/2026 13:36,Shopee,"pesan saya uda ditrima selesai,hanya nomor handphone tidak bisa dirubah",pesan saya uda ditrima selesai hanya nomor handphone tidak bisa dirubah,pesan uda ditrima selesai nomor handphone dirubah
Aflah,bagus deh,3/8/2026 13:34,Shopee,bagus deh,bagus deh,bagus
iis Kurnia,mantap,3/8/2026 13:33,Shopee,mantap,mantap,mantap
Mia Sutarman,pengiriman paket telat parah,3/8/2026 13:32,Shopee,pengiriman paket telat parah,pengiriman paket telat parah,pengiriman paket telat parah
Kirana Sofia,shopee selalu di hati,3/8/2026 13:31,Shopee,shopee selalu di hati,shopee selalu di hati,shopee selalu hati
kzh ndrn,"Lama nyampe pesanan2nya, dah dikomplain pun di jasa krim tapi gaada perubahan, trus jawaban mereka kalo dikomplain itu² trus. Saran ya kalo mau belanja dipikir² lagi. Shope juga jgn mentang² dah banyak yg belanja jadi pengiriman² paket jadi lama, nanti banyak yg pindah belanja dari dishope.",3/8/2026 13:30,Shopee,"lama nyampe pesanan2nya, dah dikomplain pun di jasa krim tapi gaada perubahan, trus jawaban mereka kalo dikomplain itu² trus. saran ya kalo mau belanja dipikir² lagi. shope juga jgn mentang² dah banyak yg belanja jadi pengiriman² paket jadi lama, nanti banyak yg pindah belanja dari dishope.",lama nyampe pesanan nya dah dikomplain pun di jasa krim tapi gaada perubahan trus jawaban mereka kalo dikomplain itu trus saran ya kalo mau belanja dipikir lagi shope juga jgn mentang dah banyak yg belanja jadi pengiriman paket jadi lama nanti banyak yg pindah belanja dari dishope,lama nyampe pesanan dikomplain pun jasa krim gaada perubahan trus jawaban dikomplain trus saran mau belanja dipikir shope jgn mentang belanja pengiriman paket lama nanti pindah belanja dishope
Wulan Wul,happy bgt pake aplikasi shopee banyak diskon harga. berjaya terus shopee dengan voucher voucher diskon nya . buat kita happy dan always belii barang online via shopee,3/8/2026 13:30,Shopee,happy bgt pake aplikasi shopee banyak diskon harga. berjaya terus shopee dengan voucher voucher diskon nya . buat kita happy dan always belii barang online via shopee,happy bgt pake aplikasi shopee banyak diskon harga berjaya terus shopee dengan voucher voucher diskon nya buat kita happy dan always belii barang online via shopee,happy bgt pake aplikasi shopee diskon harga berjaya shopee voucher voucher diskon happy always belii barang online via shopee
Fitrah Ramadhan,nice juga yah,3/8/2026 13:29,Shopee,nice juga yah,nice juga yah,nice yah
Pengen JadiArtis,topp,3/8/2026 13:24,Shopee,topp,topp,topp
nova dwi Satria,baguss,3/8/2026 13:24,Shopee,baguss,baguss,baguss
Purnama sari Maia,"saya memberi bintang satu karna shoopee yang,pertama datang nyaa,lama banget udah lama barang nya gak sesuai lagii, udhh mau sebulang ga datang datang juga!!!!!",3/8/2026 13:23,Shopee,"saya memberi bintang satu karna shoopee yang,pertama datang nyaa,lama banget udah lama barang nya gak sesuai lagii, udhh mau sebulang ga datang datang juga!!!!!",saya memberi bintang satu karna shoopee yang pertama datang nyaa lama banget udah lama barang nya gak sesuai lagii udhh mau sebulang ga datang datang juga,memberi bintang satu shoopee pertama datang nyaa lama lama barang sesuai lagii udhh mau sebulang datang datang
Bintang Pratama,GK bisa dibuka aplikasinya taik Lo moyet,3/8/2026 13:20,Shopee,gk bisa dibuka aplikasinya taik lo moyet,gk bisa dibuka aplikasinya taik lo moyet,dibuka aplikasinya taik moyet
DC Reazsy,"aplikasi nya bagus cuma jasa kirim SPX nya yg jelek , suka stuck di DC berhari"" jadi males mau belanja",3/8/2026 13:20,Shopee,"aplikasi nya bagus cuma jasa kirim spx nya yg jelek , suka stuck di dc berhari"" jadi males mau belanja",aplikasi nya bagus cuma jasa kirim spx nya yg jelek suka stuck di dc berhari jadi males mau belanja,aplikasi bagus cuma jasa kirim spx jelek suka stuck berhari males mau belanja
Aulia Sabila,bagus,3/8/2026 13:20,Shopee,bagus,bagus,bagus
Jae Lani,puas,3/8/2026 13:20,Shopee,puas,puas,puas
nofree zizi Gaming,kenapa sortir di daerah bekasi terlalu lama... setiap barang yg di lacak udah sampai mana... estimasi tiba g sesuai,3/8/2026 13:20,Shopee,kenapa sortir di daerah bekasi terlalu lama... setiap barang yg di lacak udah sampai mana... estimasi tiba g sesuai,kenapa sortir di daerah bekasi terlalu lama setiap barang yg di lacak udah sampai mana estimasi tiba g sesuai,kenapa sortir daerah bekasi terlalu lama setiap barang lacak mana estimasi tiba sesuai
Aan Haryono,cukup baik ada kekurangan dari individu penjual tapi masih wajar,3/8/2026 13:19,Shopee,cukup baik ada kekurangan dari individu penjual tapi masih wajar,cukup baik ada kekurangan dari individu penjual tapi masih wajar,cukup baik kekurangan individu penjual masih wajar
Rado Capcus,Shopee sudah bagus aplikasinya tapi sayang tiap belanja dari segi pengiriman sangat lambat tiap belanja pasti datang lebih dari seminggu. jadi kalo mau belanja di shopee harus belanja barang yang tidak buru2 mau di gunakan. kalo barang mau cepat di gunakan sebaiknya jangan belanja di shopee karena pengirimannya lambat.,3/8/2026 13:19,Shopee,shopee sudah bagus aplikasinya tapi sayang tiap belanja dari segi pengiriman sangat lambat tiap belanja pasti datang lebih dari seminggu. jadi kalo mau belanja di shopee harus belanja barang yang tidak buru2 mau di gunakan. kalo barang mau cepat di gunakan sebaiknya jangan belanja di shopee karena pengirimannya lambat.,shopee sudah bagus aplikasinya tapi sayang tiap belanja dari segi pengiriman sangat lambat tiap belanja pasti datang lebih dari seminggu jadi kalo mau belanja di shopee harus belanja barang yang tidak buru mau di gunakan kalo barang mau cepat di gunakan sebaiknya jangan belanja di shopee karena pengirimannya lambat,shopee bagus aplikasinya sayang tiap belanja segi pengiriman lambat tiap belanja pasti datang seminggu mau belanja shopee harus belanja barang buru mau gunakan barang mau cepat gunakan sebaiknya belanja shopee pengirimannya lambat
Mobile 7,Bagus,3/8/2026 13:18,Shopee,bagus,bagus,bagus
Estomihi Rotama,"lama banget ngatar nya, udh berapa kali lapor cs tapi sama aja",3/8/2026 13:17,Shopee,"lama banget ngatar nya, udh berapa kali lapor cs tapi sama aja",lama banget ngatar nya udh berapa kali lapor cs tapi sama aja,lama ngatar udh berapa kali lapor
Jo Kause,aplikasi belanja online terpercaya,3/8/2026 13:15,Shopee,aplikasi belanja online terpercaya,aplikasi belanja online terpercaya,aplikasi belanja online terpercaya
Sakti Wicaksana,"aplikasinya lumayan tpi jasa kirim nya dari spx nya buruk sekali, masak paket dlm proses pengiriman tiba"" kembali ke gudang lgi",3/8/2026 13:14,Shopee,"aplikasinya lumayan tpi jasa kirim nya dari spx nya buruk sekali, masak paket dlm proses pengiriman tiba"" kembali ke gudang lgi",aplikasinya lumayan tpi jasa kirim nya dari spx nya buruk sekali masak paket dlm proses pengiriman tiba kembali ke gudang lgi,aplikasinya lumayan tpi jasa kirim spx buruk sekali masak paket dlm proses pengiriman tiba kembali gudang lgi
marmi kaliwungu,"beli di shopee harganya murah, kualitas barangnya nomor 1 (bagus)",3/8/2026 13:13,Shopee,"beli di shopee harganya murah, kualitas barangnya nomor 1 (bagus)",beli di shopee harganya murah kualitas barangnya nomor bagus,beli shopee harganya murah kualitas barangnya nomor bagus
Tama Wisesa,"apk aneh, mesen makan driver gk dpet' aneh bgt anj tololl dri jam 2 pagi ampe subuh najiss bgt ampe gk puasa gra' gk saur dontollll",3/8/2026 13:08,Shopee,"apk aneh, mesen makan driver gk dpet' aneh bgt anj tololl dri jam 2 pagi ampe subuh najiss bgt ampe gk puasa gra' gk saur dontollll",apk aneh mesen makan driver gk dpet aneh bgt anj tololl dri jam pagi ampe subuh najiss bgt ampe gk puasa gra gk saur dontollll,apk aneh mesen makan driver dpet aneh bgt anj tololl dri jam pagi ampe subuh najiss bgt ampe puasa gra saur dontollll
