User,Teks,Waktu,Sumber,Teks_Bersih
Gio Vanno,mantap,3/8/2026 13:57,Shopee,mantap
Prima nanda,Shopee paling joss,3/8/2026 13:56,Shopee,shopee paling joss
Jonathan madu58,"iklan shopee maksa bgt gasuka,sengaja kasi bintang lima biar di upp diatass",3/8/2026 13:55,Shopee,iklan shopee maksa bgt gasuka sengaja kasi bintang lima biar upp diatass
Ade Wawan,ok,3/8/2026 13:50,Shopee,
Salsa Nabila,"pelayanan terkait laporan kendala buruk, sering menggantung dan tidak ada solusi berakhir merugikan customer, padahal kesalahan memang terdapat dari pihak shopeenya",3/8/2026 13:50,Shopee,pelayanan terkait laporan kendala buruk sering menggantung solusi berakhir merugikan customer padahal kesalahan memang terdapat pihak shopeenya
X-Sanjaya,Membantu..,3/8/2026 13:49,Shopee,membantu
Masnia Nia,kok lama bgt pdhl jaringannya baguss,3/8/2026 13:48,Shopee,kok lama bgt pdhl jaringannya baguss
Slamet Riady,sangat membantu sekali ga usah repot repot ke kota propinsi untuk membeli barang yg murah bahkan murah dibanding kota propinsi,3/8/2026 13:47,Shopee,membantu sekali usah repot repot kota propinsi membeli barang murah bahkan murah dibanding kota propinsi
Khoiril,banyak promo yg murah,3/8/2026 13:47,Shopee,promo murah
Princess Nadia,sngt cpt dtg nya,3/8/2026 13:46,Shopee,sngt cpt dtg
Agoezt Keinara,semoga lancar selau aja untuk shopee,3/8/2026 13:46,Shopee,semoga lancar selau shopee
Ela Dianingsih,lumayan dan bermanfaat ya😍💪😁,3/8/2026 13:44,Shopee,lumayan bermanfaat
Dedejubaidah1 Dedejubaidah1,shope sangat membantu kalangan masyarakat indo dan membuka lapangan pekerjaan serta industri lokal untuk ekonomi nasional ..bravo shopee terus maju jaya!,3/8/2026 13:43,Shopee,shope membantu kalangan masyarakat indo membuka lapangan pekerjaan serta industri lokal ekonomi nasional bravo shopee maju jaya
Jasman Jul,"shopee sangat membantu sekali dalam segala urusan belanja online, pokoknya shopee topde👍👍👍",3/8/2026 13:43,Shopee,shopee membantu sekali segala urusan belanja online pokoknya shopee topde
Jaka triyana88,"Amanah sesuai pesanan, pengiriman cepat & rapi trimakasih.",3/8/2026 13:42,Shopee,amanah sesuai pesanan pengiriman cepat rapi trimakasih
Nenk Yunni,sangat baik dan sangat membantu sekali 🫰👍,3/8/2026 13:42,Shopee,baik membantu sekali
Sinta Putri,udah pakai shopee dari 2018 dan hampir semua orderan sesuai sama keinginan ku mantap shopee,3/8/2026 13:39,Shopee,pakai shopee hampir semua orderan sesuai keinginan mantap shopee
Rika Rahim,ko shopee sekarang lelet ya? pesanan aku sering lama banget datangnya,3/8/2026 13:39,Shopee,shopee sekarang lelet pesanan sering lama banget datangnya
Mama Rini,Shope andalanku untuk berbelanja online smg tambah sukses 👍,3/8/2026 13:37,Shopee,shope andalanku berbelanja online smg tambah sukses
Erwis Fitrianto,"pesan saya Uda ditrima selesai,hanya nomor handphone tidak bisa dirubah",3/8/2026 13:36,Shopee,pesan uda ditrima selesai nomor handphone dirubah
Aflah,bagus deh,3/8/2026 13:34,Shopee,bagus deh
iis Kurnia,mantap,3/8/2026 13:33,Shopee,mantap
Mia Sutarman,pengiriman paket telat parah,3/8/2026 13:32,Shopee,pengiriman paket telat parah
Kirana Sofia,shopee selalu di hati,3/8/2026 13:31,Shopee,shopee selalu hati
kzh ndrn,"Lama nyampe pesanan2nya, dah dikomplain pun di jasa krim tapi gaada perubahan, trus jawaban mereka kalo dikomplain itu² trus. Saran ya kalo mau belanja dipikir² lagi. Shope juga jgn mentang² dah banyak yg belanja jadi pengiriman² paket jadi lama, nanti banyak yg pindah belanja dari dishope.",3/8/2026 13:30,Shopee,lama nyampe pesanan dah dikomplain pun jasa krim gaada perubahan trus jawaban dikomplain trus saran mau belanja dipikir shope jgn mentang dah belanja pengiriman paket lama nanti pindah belanja dishope
Wulan Wul,happy bgt pake aplikasi shopee banyak diskon harga. berjaya terus shopee dengan voucher voucher diskon nya . buat kita happy dan always belii barang online via shopee,3/8/2026 13:30,Shopee,happy bgt pake aplikasi shopee diskon harga berjaya shopee voucher voucher diskon happy always belii barang online via shopee
Fitrah Ramadhan,nice juga yah,3/8/2026 13:29,Shopee,nice yah
Pengen JadiArtis,topp,3/8/2026 13:24,Shopee,topp
nova dwi Satria,baguss,3/8/2026 13:24,Shopee,baguss
Purnama sari Maia,"saya memberi bintang satu karna shoopee yang,pertama datang nyaa,lama banget udah lama barang nya gak sesuai lagii, udhh mau sebulang ga datang datang juga!!!!!",3/8/2026 13:23,Shopee,memberi bintang satu shoopee pertama datang nyaa lama banget lama barang sesuai lagii udhh mau sebulang datang datang
Bintang Pratama,GK bisa dibuka aplikasinya taik Lo moyet,3/8/2026 13:20,Shopee,dibuka aplikasinya taik moyet
DC Reazsy,"aplikasi nya bagus cuma jasa kirim SPX nya yg jelek , suka stuck di DC berhari"" jadi males mau belanja",3/8/2026 13:20,Shopee,aplikasi bagus cuma jasa kirim spx jelek suka stuck berhari males mau belanja
Aulia Sabila,bagus,3/8/2026 13:20,Shopee,bagus
Jae Lani,puas,3/8/2026 13:20,Shopee,puas
nofree zizi Gaming,kenapa sortir di daerah bekasi terlalu lama... setiap barang yg di lacak udah sampai mana... estimasi tiba g sesuai,3/8/2026 13:20,Shopee,kenapa sortir daerah bekasi terlalu lama setiap barang lacak mana estimasi tiba sesuai
Aan Haryono,cukup baik ada kekurangan dari individu penjual tapi masih wajar,3/8/2026 13:19,Shopee,cukup baik kekurangan individu penjual masih wajar
