Username,Rating,Isi ulasan,Tanggal ulasan
Gio Vanno,5,mantap,3/8/2026 13:57
Prima nanda,5,Shopee paling joss,3/8/2026 13:56
Jonathan madu58,5,"iklan shopee maksa bgt gasuka,sengaja kasi bintang lima biar di upp diatass",3/8/2026 13:55
Ade Wawan,5,ok,3/8/2026 13:50
Salsa Nabila,1,"pelayanan terkait laporan kendala buruk, sering menggantung dan tidak ada solusi berakhir merugikan customer, padahal kesalahan memang terdapat dari pihak shopeenya",3/8/2026 13:50
X-Sanjaya,5,Membantu..,3/8/2026 13:49
Masnia Nia,5,kok lama bgt pdhl jaringannya baguss,3/8/2026 13:48
Slamet Riady,5,sangat membantu sekali ga usah repot repot ke kota propinsi untuk membeli barang yg murah bahkan murah dibanding kota propinsi,3/8/2026 13:47
Khoiril,5,banyak promo yg murah,3/8/2026 13:47
Princess Nadia,5,sngt cpt dtg nya,3/8/2026 13:46
Agoezt Keinara,5,semoga lancar selau aja untuk shopee,3/8/2026 13:46
Ela Dianingsih,4,lumayan dan bermanfaat ya😍💪😁,3/8/2026 13:44
Dedejubaidah1 Dedejubaidah1,5,shope sangat membantu kalangan masyarakat indo dan membuka lapangan pekerjaan serta industri lokal untuk ekonomi nasional ..bravo shopee terus maju jaya!,3/8/2026 13:43
Jasman Jul,5,"shopee sangat membantu sekali dalam segala urusan belanja online, pokoknya shopee topde👍👍👍",3/8/2026 13:43
Jaka triyana88,5,"Amanah sesuai pesanan, pengiriman cepat & rapi trimakasih.",3/8/2026 13:42
Nenk Yunni,5,sangat baik dan sangat membantu sekali 🫰👍,3/8/2026 13:42
Sinta Putri,5,udah pakai shopee dari 2018 dan hampir semua orderan sesuai sama keinginan ku mantap shopee,3/8/2026 13:39
Rika Rahim,1,ko shopee sekarang lelet ya? pesanan aku sering lama banget datangnya,3/8/2026 13:39
Mama Rini,5,Shope andalanku untuk berbelanja online smg tambah sukses 👍,3/8/2026 13:37
Erwis Fitrianto,5,"pesan saya Uda ditrima selesai,hanya nomor handphone tidak bisa dirubah",3/8/2026 13:36
Aflah,5,bagus deh,3/8/2026 13:34
iis Kurnia,5,mantap,3/8/2026 13:33
Mia Sutarman,2,pengiriman paket telat parah,3/8/2026 13:32
Kirana Sofia,5,shopee selalu di hati,3/8/2026 13:31
kzh ndrn,1,"Lama nyampe pesanan2nya, dah dikomplain pun di jasa krim tapi gaada perubahan, trus jawaban mereka kalo dikomplain itu² trus. Saran ya kalo mau belanja dipikir² lagi. Shope juga jgn mentang² dah banyak yg belanja jadi pengiriman² paket jadi lama, nanti banyak yg pindah belanja dari dishope.",3/8/2026 13:30
Wulan Wul,5,happy bgt pake aplikasi shopee banyak diskon harga. berjaya terus shopee dengan voucher voucher diskon nya . buat kita happy dan always belii barang online via shopee,3/8/2026 13:30
Fitrah Ramadhan,5,nice juga yah,3/8/2026 13:29
Pengen JadiArtis,5,topp,3/8/2026 13:24
nova dwi Satria,5,baguss,3/8/2026 13:24
Purnama sari Maia,1,"saya memberi bintang satu karna shoopee yang,pertama datang nyaa,lama banget udah lama barang nya gak sesuai lagii, udhh mau sebulang ga datang datang juga!!!!!",3/8/2026 13:23
Bintang Pratama,1,GK bisa dibuka aplikasinya taik Lo moyet,3/8/2026 13:20
DC Reazsy,3,"aplikasi nya bagus cuma jasa kirim SPX nya yg jelek , suka stuck di DC berhari"" jadi males mau belanja",3/8/2026 13:20
Aulia Sabila,5,bagus,3/8/2026 13:20
Jae Lani,5,puas,3/8/2026 13:20
nofree zizi Gaming,3,kenapa sortir di daerah bekasi terlalu lama... setiap barang yg di lacak udah sampai mana... estimasi tiba g sesuai,3/8/2026 13:20
Aan Haryono,5,cukup baik ada kekurangan dari individu penjual tapi masih wajar,3/8/2026 13:19
Rado Capcus,3,Shopee sudah bagus aplikasinya tapi sayang tiap belanja dari segi pengiriman sangat lambat tiap belanja pasti datang lebih dari seminggu. jadi kalo mau belanja di shopee harus belanja barang yang tidak buru2 mau di gunakan. kalo barang mau cepat di gunakan sebaiknya jangan belanja di shopee karena pengirimannya lambat.,3/8/2026 13:19
Mobile 7,5,Bagus,3/8/2026 13:18
Estomihi Rotama,1,"lama banget ngatar nya, udh berapa kali lapor cs tapi sama aja",3/8/2026 13:17
Jo Kause,5,aplikasi belanja online terpercaya,3/8/2026 13:15
