Username,Isi komentar,Jumlah like komentar,Waktu komentar
@MrBeast,Feastables is available in every Walmart and Albertsons stores in America! (Coming globally later this year) Wuv u guys #FeastablesPartner,169 rb,2 tahun yang lalu (diedit)
@sacercervantes,we all love karl's mom,202 rb,2 tahun yang lalu
@YouTube,if Mr Beast ever flies on the 500k flight again and needs an extra friend there...i'm free literally every single day 😁,248 rb,2 tahun yang lalu
@Jostig,"Chandler needs more screen time, he’s the best",24 rb,2 tahun yang lalu
@DarthVader-fp2ne,He always comes with better content. RESPECT,21 rb,2 tahun yang lalu
@Jackie1710-r2f,anyone in 2026?,413,1 bulan yang lalu
@Jacorn_IDK,Chandler's current objective:  Survive,7 rb,2 tahun yang lalu
@futcrunch,"flying private and watching ronaldo highlights, life peaked!!!",16 rb,2 tahun yang lalu
@Deerbit9,Who’s here in 2026,96,1 bulan yang lalu
@FrayVolt,"Chandler needs more screen time, we don't see him enough! :)",5 rb,2 tahun yang lalu
@jesandtherest,Chandler is always a vibe ✨️,"3,1 rb",2 tahun yang lalu
@MonicaSodano-v7t,Who in 2026?,1,4 hari yang lalu
@johnnyrod307,It’s awesome how he treats his crew very well. Lucky guys.,"2,6 rb",2 tahun yang lalu
@Kswbud,If chandler leaves mrbeast it will never be the same,912,2 tahun yang lalu
@UnrealEntGaming,"MrBeast Crushing it as always, good job on the entire team behind this",63 rb,2 tahun yang lalu
@LarizardsCharicards,"Nolan is too nice, locked in the bathroom the whole flight by Karl lol and the 1st thing he does when he comes out: puts his arm around Karl.",37,2 minggu yang lalu
@Esthiben,Bring back mrbeast6000 🔥🔥,1 rb,2 tahun yang lalu
@rgenishernandez9636,Chandler needs more screen time! Hes an amazing vibe along next to yours Mrbeast,"1,3 rb",2 tahun yang lalu
@mrdstein7417,9:33 Jimmys got that millionaire rizz,492,2 tahun yang lalu
@doubletapper01,Anyone here in 2026 march😂😂😂,6,4 hari yang lalu
@soundfx7059, @cokerant  noob,17,2 tahun yang lalu
@sebgonz05,Wuv u too,3,2 tahun yang lalu
@hecouldbeanyoneofus1559,Wow,3,2 tahun yang lalu
@ВладимирШпигер,Когда уже будет Мистер Бист Когда уже будет видео там где стоит какая-то вещь миллион ударов,23,1 tahun yang lalu
@Artistic_D3n,really gonna be waiting for Pakistan :D,22,2 tahun yang lalu
@trxmblxy,when is it going to be released in Indonesia?,2,2 tahun yang lalu
@OmarFuentes-ih3kr,mr beas😃,2,2 tahun yang lalu
@Gurpefy,what about canada my guy. Me want beast chocolate ;[,2,2 tahun yang lalu
@robertmcquattie5706,wuv you mrbeast,2,2 tahun yang lalu
@noemi01,Come to Miami 😘,2,2 tahun yang lalu
@sierraking4312,Jimmy my family is two cars down and another car is barely working we could use some help.,2,2 tahun yang lalu
@SUKUNAYT10K,LOVE YOU,2,2 tahun yang lalu
@REALHEMMMMMM,Yayy it’s global,2,2 tahun yang lalu
@Nectrotic_god1,Omg,20,2 tahun yang lalu
@Arf08,"Mr. Beast, do you love Karl's mom?",1,2 tahun yang lalu
@soulsansgamer,lets go,1,2 tahun yang lalu
@MrWolffFF,Waiting for chocolate in Ukraine)),1,2 tahun yang lalu
@sarthakkansal4013,Globally means India also😅😊❤,1,2 tahun yang lalu
@epicstarr2848,❤  your videoes,1,2 tahun yang lalu
@nikeogunyemi7403,Ок,1,2 tahun yang lalu
@Manii0211,hello jimy,1,2 tahun yang lalu
@xoxo__beann,Please let me come,1,2 tahun yang lalu
@neliesucre-bn3jp,❤❤,1,2 tahun yang lalu
@ysanashlagarciafeliz4217,Me llamo Nashla siempre querido conocerte en cual país vives yo quiero estar en una de los rec,1,2 tahun yang lalu
@heczabethrivero2952,Soy tu faaaaaaaaaaaaaaaaaaaan please saludameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1,2 tahun yang lalu
@chantellerich11,The beast this is my nameconnor,1,2 tahun yang lalu
@chantellerich11,Connor.    Mr beast,1,2 tahun yang lalu
@lktmkeuangan5370,Mau,1,2 tahun yang lalu
@lktmkeuangan5370,Mau Coklat,1,2 tahun yang lalu
@RaysseRibeiro-zk8ci,Kkkkkkklķķ,1,2 tahun yang lalu
@Its_me_dwiislyz,😊😊😊😊😊😊😊😊😊😊😊😊😊,1,2 tahun yang lalu
@CharaFragoso,Yo. chorro. Bolarr,1,2 tahun yang lalu
@พี่เบสน้องไบรท์,balls,1,2 tahun yang lalu
@김용필-u9r,세븐틴 조슈아 손오공,1,2 tahun yang lalu
@Mtstudios_zw,Mr Beast can you please buy me a smart screen tv,1,2 tahun yang lalu
@FGFentertainment,wuv u 2 beast :3,1,2 tahun yang lalu
@begai05,Я,1,2 tahun yang lalu
@aizzzy21,YESSSS PLS PHILIPPINES,1,2 tahun yang lalu
@creb56,W,1,2 tahun yang lalu
@JibrelBurdier,​Mrbeast qué está haciendo ya me suscribí a tu canal icar yo no quiero saluda,1,2 tahun yang lalu
@ayelenricci9816,Po        FELIPE,1,2 tahun yang lalu
@adriciamaria5918,😮,1,2 tahun yang lalu
@AxelOrtiz-uo1ih,Mr beast puedes venir en diciembre el 12v a nuevo necaxa puebla juan galindo por 🎉😊favor,1,2 tahun yang lalu
@fwabe_,Here before it hits 500 replies,1,2 tahun yang lalu
@МаксФрай-р2п,А в России выйдет?),1,2 tahun yang lalu
@RailsonRacha,Euteamo❤❤,1,2 tahun yang lalu
@evgenysklyarov6333,Мистер бист а в России есть Feastables?,1,2 tahun yang lalu
@mattraymond2231,W,1,2 tahun yang lalu
@unSERious_DOG,In Russia too?,1,2 tahun yang lalu
@aracellycabrera7076,Esooo,1,2 tahun yang lalu
@gtfdnh,E,1,2 tahun yang lalu
@newowa,500th,1,2 tahun yang lalu
@Judethedude6421,500 th,1,2 tahun yang lalu
@Dirlly-h8d,P,1,2 tahun yang lalu
@BuZzdraws,ok,1,2 tahun yang lalu
@bongpartybongparty6273,😂😂😂😂😂,1,2 tahun yang lalu
@BullahAmmasi-fn3sx,😊😊😊😊😊,1,2 tahun yang lalu
@SabilAhmadsabilbedali,1900000000000000,1,2 tahun yang lalu
@Abdullahalmehraj01,W,1,2 tahun yang lalu
@MamadianDiallo-p3f,Mr Beast ne nous oublie pas 😊😊😢❤,1,2 tahun yang lalu
@baconboi_yt9461,YO,1,2 tahun yang lalu
@Andersongabiel,Anderson,1,2 tahun yang lalu
@yoldashyoldashov1534,Mister! 1mln bana .!!! Sizede Dünyalar.,1,2 tahun yang lalu
@حسيناحمد-ز6س3ر,😂😂😂😂❤❤❤❤2024,1,2 tahun yang lalu
@salmah2855,Nama aku hari ni raikal aku sangat suka cam sorry aku tengok sampai,1,2 tahun yang lalu
@CashandNotnico,W,1,2 tahun yang lalu
@Dikshu123-ip3vr,10:04,1,2 tahun yang lalu
@Silviabarrios-m8o,😂😂😂😂,1,2 tahun yang lalu
@hellbert1438,7/11 in the Philippines please,1,2 tahun yang lalu
@firattas2835,"، Mistibis.,..,.ayar........sen.......filistin li......olsaydın.......işte......bu.......olur",1,2 tahun yang lalu
@Matthew-y4y,Oh my gosh!,1,2 tahun yang lalu
@DARKSILVERTHOR170,Cool 🆒 😎,1,2 tahun yang lalu
@tobypcarreon,Lol,1,2 tahun yang lalu
@nilshoppenjans5130,IN SUB AMD HUGE FANNNNNNN,1,2 tahun yang lalu
@yalyenitquintanadeza9837,Ddimd 3:47,1,1 tahun yang lalu
@ColtGieck-kp6vf,😅,1,1 tahun yang lalu
@TheExperts-w3k,JIMMY YOUR CHOCOLATE IS NOT AVAILABLE IN PAKISTAN EASILY,1,1 tahun yang lalu
@rayyanthetechnicalgamer2775,W,18,2 tahun yang lalu
@Chicken_Nugget-o8r,I got a few,18,2 tahun yang lalu
@uniquerobloxavatar,damn 🤓,16,2 tahun yang lalu
@ajocleda,W,0,2 tahun yang lalu
@Estelles_alt,W,0,2 tahun yang lalu
@fazefatboi7516,Hi,0,2 tahun yang lalu
@Videosandmoremine,Uwuw,0,2 tahun yang lalu
@sintanuriyah1538,Aku nak ikut Boleh dak,0,2 tahun yang lalu
@vanillabear1403,peanut butter jelly time,0,2 tahun yang lalu
@TheDemolisher,"Jimmy's boutta pass up T-Series eventually, and i am so excited",0,2 tahun yang lalu
@Mypfpisabunchoffloppers,W,0,2 tahun yang lalu
@cesarcantucesarcantu2220,Love you mr. Breasts😊😂,0,2 tahun yang lalu
@zabrinagibbons3410,Hi Mr besssssssttt,0,2 tahun yang lalu
@แก๋วววแว๋ววว,แต่ผมคนไทยนะ,0,2 tahun yang lalu
@personwhoiscool7401,i love you mr beast you w man,0,2 tahun yang lalu
@Pargatsingh-md8fi,Hlo sir  🤓,0,2 tahun yang lalu
@darkxfl,W,0,2 tahun yang lalu
@dresdemise,is it comming to taiwan anytime sooner? Im dying to try it.,0,2 tahun yang lalu
@sv7150,239TH,0,2 tahun yang lalu
@ronesdosreisfarias9300,W,0,2 tahun yang lalu
@LittleDamsell,Yay,0,2 tahun yang lalu
@Mr.Jabella,Qq,0,2 tahun yang lalu
@GuadalupePalomares-xk5uj,"Soi,tufan",0,2 tahun yang lalu
@gamingon67,Please give me heart ❤️,0,2 tahun yang lalu
@berandomisme,Please make it kosher.,0,2 tahun yang lalu
@t3vl2, @cokerant  almart,0,2 tahun yang lalu
@xtelracsx0,Hi MrBeast also I LOVE UR CHANNEL I have been watching u for more than 3 years and I'm subscribed Also i love Karl's Mom,0,2 tahun yang lalu
@BranzGG,"PRAY FOR INDONESIA FOOT BALL CLUB,,,, GIVE ME MISTERI BOX BOSS😇😇😇",0,2 tahun yang lalu
@winterfall4910,no,0,2 tahun yang lalu
@f.a_211,Soy nueva suscriptora MrBeast,0,2 tahun yang lalu
@berandomisme,Please make feastables kosher.,0,2 tahun yang lalu
@josuesosa9311,Luv u,0,2 tahun yang lalu
@ashlynfontanos7668,Wuv you too!!!,0,2 tahun yang lalu
@uniquerobloxavatar,dang bro more comment slots,0,2 tahun yang lalu
@Yukithelovely,Hi,0,2 tahun yang lalu
@zyxlio4055,Yo whatsup dad,0,2 tahun yang lalu
@uniquerobloxavatar,dude,0,2 tahun yang lalu
@zyxlio4055, @uniquerobloxavatar  😘,0,2 tahun yang lalu
@argabilegbaatarkhuu3427,Lov,0,2 tahun yang lalu
@HalilKoca-fg1uf,Jimmy help Turkey,0,2 tahun yang lalu
@НикитаПопов-р2к,Sorry Mbeast can you bring you're chocolate in Asia and Africa 😢,0,2 tahun yang lalu
@taufikhidayatulmuqlisin4611,Hi,0,2 tahun yang lalu
@nutellaBr8693,Brazil gets poggers,0,2 tahun yang lalu
@ramennam,"만나고 싶은 미스터 비스트 ,항상 건강하길(I want to meet MrBeast Always be healthy)",0,2 tahun yang lalu
@Kasen-wx3bg,Canada we need,0,2 tahun yang lalu
