Username,Isi komentar,Jumlah like komentar,Waktu komentar
@waldi_hidayat69,"Om ded tolong up anak SD yang meninggal di NTT hanya ingin membeli buku dan pena untuk keperluan sekolah, supaya pemerintah terketuk hatinya khusus nya pemerintah NTT supaya kedepannya tidak terjadi lagi seperti ini 😔","8,5 rb",1 bulan yang lalu
@AmatKajung-l3b,"Pernah baca bocoran kurang lebih seperti ini. Bahwa berita² yang sampai diberanda kita adalah berita basi yang ga ada pengaruh apa² dengan agenda 'mereka'. Disaat kita sibuk ketrigger membahas dan mengutuk yang hanya habis di kolom komentar, mereka justru siap dengan agenda berikutnya, viralnya kasus² besar  hanya untuk menutupi rencana berikutnya. Kita merasa berhasil karna merasa telah berhasil membuka aib lama padahal kita masuk ke agenda baru.  Yang patut kita lakukan sekarang adalah persiapkan diri untuk menjaga diri dan orang² yg kita sayangi. Kita ga bakal tau apa yg terjadi didepan.","4,9 rb",1 bulan yang lalu
@SintaFebriyani-iw1eu,"GUYS HATI HATI!! Dalam dunia intelijen, ada aturan main: ""Kalau informasinya dikasih gratis ke publik, berarti itu sudah basi."" Yang dipublikasikan itu cuma info ""sampah"" buat bikin kita sibuk berdebat. Sedangkan info yang paling penting yang bisa ngeruntuhin negara atau ngejatuhin raja nggak bakal pernah nyampe ke layar HP kita. Mereka bukan lagi buka rahasia, mereka lagi buang sampah supaya kita nggak nyari harta karun yang sebenarnya.",403,1 bulan yang lalu
@inggarbunny3756,"Saya nakes. Dulu di kalangan kami udah ada pembahasan tentang covid itu 'buatan' & bahaya vaksin. Saya & rekan² sejawat yg concerned tentang itu bahkan vokal & nolak untuk vaksin. Tapi apalah daya, dengan alasan para petinggi kalo kami itu garda depan & uji coba pertama vaksin dilakuin ke kami, pilihannya cuma nurut sama pusat / kerjaan kami yg jadi taruhannya 😞  Banyak yg bilang berita tentang elite global itu konspirasi. Sebenernya konspirasi itu pilihan kata dari mereka untuk nyembunyiin fakta yg terjadi.  Tentang berita Epstein ini kepikiran ga sih gaes, kenapa baru dibuka sekarang? (Walaupun katanya itu di desak warga AS karna janji kampanye Trump yg belum dilakuin). Apa ini pengalihan issue? Ada agenda besar apalagi yg bakal mereka jalanin setelah ini? Disaat semua orang di dunia ini tiba² sibuk ngebahas Epstein, tiba² juga seakan² orang² dibuat lupa sama Board of Peace, Digital ID, Digital Currency yg semua itu juga bagian dari rencana besar mereka untuk ngontrol semua orang di dunia.  Oiya kematian Epstein juga ada content creator di LN yg bahas kalo itu Fake Death. doi ngelampirin foto mayat Epstein waktu di autopsi & foto Epstein asli, beda orang.  Fyi, tahun 2026 itu ulang tahun Iluminati yg ke 250 (tepatnya 1 Mei), yg dalam Olkutisme angka 250 sering dianggap sebagai akhir siklus kekaisaran. Di bawah pengawasan 'Mata Satu', mereka ngerayainnya dengan ngeruntuhin tatanan lama menuju New World Order. Wallahu A'lam Bishawab  Semoga kita semua selalu dalam lindungan Allah SWT. Aamiin Ya Rabbal Alaamiin..",12,1 bulan yang lalu
@Lisyun-u4p,"bener bener, kenapa setiap hari jumat buat ummat muslim baca surat Al Kahfi untuk turunan kita terlindung dari Fitnah Dajjal",405,1 bulan yang lalu
@malnauv,"HATI2 pengalihan isu ya gaes! karena hal2 memalukan yg disebar seperti ini ada teorinya; limited hangout/controlled release. yaitu taktik dmn informasi rahasia or memalukan sengaja dibocorkan secara terkontrol untuk mengalihkan perhatian, membingungkan publik, atau melindungi kebenaran yg lebih besar dan lebih dark lagi. tujuannya ya untuk “mengorbankan” beberapa pihak atau fakta yg udah basi atau ga lagi berbahaya bagi elite, sembari menguburkan rahasia yang sebenarnya (teknik2 intelejen US/CIA). ini bukan puncak, tapi awal (atau pengalihan) dari sesuatu yang lebih besar. inget, “the real danger is not the crime that is revealed, but the crime that remains hidden in plain sight, normalized by the spectacle of the 'reveal' itself”, menurut teori sosial spektakel. jadi cukup jadiin pegangan, pengetahuan, hint/clue. jgn berlarut2/terlarut2 dgn hal ini. pasti bakal ada sesuatu yg lebih besar lagi nantinya.  Note gaes ; Saya percaya apa yg diungkapkan di file ini (khususnya yg terbukti), dan emang paling biadab sepanjang yg saya dengar. Maksud saya supaya lebih meningkatkan awareness kita juga gaes, ga dilengahkan oleh hal2 kaya gini, kita harus hati2 juga guys. Politik, taktik, strategi mereka itu pinter guys saya akuin aja, kalo ga pinter mana bisa mereka bisa menyembunyikan selama ini. Kalo mereka bodoh, mereka2 ini ga akan jadi elite global. Kasus ini kan dari 2019 ke bawah (dari tahun 90-an - 2019, tahun dia mati), yg mana ada gap nih 7 tahun jaraknya ke 2026, meskipun dokumennya dirilis dari tahun 2024-2026 (sekarang ini), yg mana tinggal sisa sedikit lagi kan filenya yg belum dirilis. Pertanyaannya, ada jaminan ga kita tau agenda 2019-2026 ke atas? Walaupun ada, kan ga semua orang bakal tau, apalagi setau dan seheboh kasus ini—yg mana menghebohkan masyarakat dunia. Saya emang setuju kalo file Epstein membukakan sejarah, tabir, aib, dan wajah asli elite global dan orang² penting (terutama mamarika dan sekutu terdekat-terbesarnya), saya jadi tau juga kan alhamdulillah, sesuai yg dinubuwahkan dgn akhir zaman oleh agama saya. Konspirasi yg selama ini dikira cuma rekaan, palsu, asumsi liar, ternyata menjadi kenyataan. Saya keinget juga sama pendapat Profesor Ziang khususnya di video yang judulnya ""How Evil Triumphs"" yg membahas bagaimana cara dunia/penguasa/pemegang tampuk kekuasaan/power bekerja, khususnya pada bagian materi yg membahas tentang aktivitas ritual; human sacrifice dan child sacrifice—mengingat mayoritas korban²nya anak di bawah umur, sebagaimana korban jiwa dari aksi g3n05*d4 Z10N di Ghaza yg mayoritas korbannya merupakan anak² di bawah umur (menurut riset bahkan 30-40%, bahkan sampai 48% lebih—belum yg tidak tercatat). Seolah² polanya ini sama; selalu anak di bawah umur. Apalagi kalo pesta daging m*nusia yg ada di file tersebut terbukti benar. Dibalik aktivitas2 tsb, pasti ada tujuan untuk menyambut/menginginkan sesuatu (yg berbau2 iblis atau mungkin dajjal), atau tertuju pada suatu tujuan tertentu. Sebenernya banyak yg mungkin aja belum keungkap, mengingat filenya kalau dikalkulasikan sebanyak 6 juta lebih—bahkan kemungkinan ada yg tidak terdokumentasikan, terlapor, tercatat, dll. Pantes aja kenapa selalu ada golongan² yg bersuara ataupun golongan² yg memerangi mereka, toh untuk melawan hal² yg biadab seperti ini, oposisi seolah jadi penyeimbangnya; antara yg baik vs yg jahat, sudah takdir Allah / Sunatullah. Yg paling miris sih ternyata kebebasan, kemajuan, kejayaan, kesejahteraan, liberalisme, dll yg digaungkan dan ditekankan oleh mereka² yg terlibat—khususnya para elite global dan tokoh2 penting tsb, fakta dibaliknya justru menunjukkan bahwa kenyataannya terdapat hal² yg tidak bermoral, biadab, dan bahkan jauh lebih sadis melebihi binatang. Na'udzubillah Min Dzalik. Saya percaya apa yg Allah dan Rasul-Nya janjikan di akhir zaman nanti, bahwa yg menang bukanlah kejahatan, melainkan KEBENARAN!   Intinya kalian tetap fokus sama apa yg kalian jalani, terus ikhtiar, berdo’a, dan tawakal. Inget, jadikan ini sebagai pegangan, hint/clue, bekal, dan setidaknya kita dapat gambarannya bahwa seperti ini lho, sekeji ini lho, sengeri ini lho. Itu dia yg diberitakan 1400 tahun yg lalu tentang fitnah, huru-hara, tipu daya akhir zaman. Apa yg dinubuwahkan Rasulullah SAW tidak akan pernah salah, tidak akan pernah bohong, pasti kejadian, tinggal nunggu waktunya aja. Keep safety guys, jaga terus kesehatan❤❤❤","1,4 rb",1 bulan yang lalu (diedit)
@fllweryesmin,Jangan tinggalin sholat ya temen temen❤ senang sekali bisa satu bumi dengan kalian 😊,386,1 bulan yang lalu
@MrJoeMarc,"Kejahatan mereka lebih dari kejahatan segala iblis. Semoga manusia2 terkutuk itu mendapat pembalasan yang sangat sadis. Kalau tidak didunia, pasti di akhirat. Aamin",59,1 bulan yang lalu
@syaidakhmadnovian19,"Percayalah, ini kasus keluar dgn segala macam bentuk level kejahatan yg tdk pernah terpikiri di benak manusia..merupakan skema “normalisasi” kejahatan terburuk, membuat kita berpikir “wah ternyata merkosa Ibu2 tdk seberapa, msh ada yg jauh lbh busuk dr gw”.  Sehingga manusia pelan2 mulai rusak, mulai terbiasa dgn kejahatan2.",541,1 bulan yang lalu
@raldofficial1313,"OM DED undang JRX dan jendral DHARMA PONGREKUN , dulu waktu masa survive C19 dia sempat bahas epstein dan sempat dikatai halu. skrg terbukti kata kata beliau.","1,9 rb",1 bulan yang lalu (diedit)
